service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
x2012ERFSummerWeekday,1,1,1,1,1,1,0,20120401,20130525
2012HudsonWeekday,1,1,1,1,1,0,0,20120101,20191231
H14-Midtown_Saturday,0,0,0,0,0,1,0,20120101,20191231
2012HudsonFridaySaturday,0,0,0,0,1,1,0,20120101,20191231
HOBOKEN_SOUTH_PIER_11_TEMP,1,1,1,1,1,0,0,20130107,20191231
xHOBOKEN_SOUTH_PIER_11_WEEKDAY,1,1,1,1,1,0,0,20130102,20130106
Hudson_MLK,0,0,0,0,0,0,0,20130121,20170122
LinH_H14-P79_20min_EarlyShut,0,0,0,0,0,0,0,20131214,20161231
LINCOLN_HARBOR_MIDTOWN_WEEKDAY,1,1,1,1,1,0,0,20130715,20191231
LINCOLN_HARBOR_MIDTOWN_WEEKEND,0,0,0,0,0,1,1,20130215,20191231
LINCOLN_HARBOR_MIDTOWN_SATURDAY,0,0,0,0,0,1,0,20130215,20191231
Hudson_BlackFriday,0,0,0,0,0,0,0,20161111,20171121
BelfordSummer,0,0,0,0,1,0,0,20160526,20170901
PortImperial_Midtown_20min,0,0,0,0,0,0,0,20160309,20161231
PtImplH14ToDwntwnEarlyDepartures,0,0,0,0,0,0,0,20161110,20161231
xNewportMidtownz,0,0,0,0,1,0,0,20120101,20131231
xBelfordWeekdayNoLastRun,0,0,0,0,0,0,0,20130701,20130702
IMPERIAL_PIER11_WEEKDAY,1,1,1,1,1,0,0,20131119,20191231
xIMPERIAL_PIER11_WEEKDAY_CLONE,1,1,1,1,1,0,0,20131118,20131118
Thanksgiving_LINCOLN_MIDTOWN,0,0,0,0,0,0,0,20161110,20161228
HOBOKEN14_MIDTOWN_WEEKEND,0,0,0,0,0,1,1,20120101,20191231
Thanksgiving_HOBOKEN14_MIDTOWN,0,0,0,0,0,0,0,20161110,20161228
IMPERIAL_MIDTOWN_WEEKEND,0,0,0,0,0,1,1,20120101,20191231
Thanksgiving_IMPERIAL_MIDTOWN,0,0,0,0,0,0,0,20161110,20161128
ChristmasEve_Hudson,0,0,0,0,0,0,0,20131220,20161225
Hudson_NYE,0,0,0,0,0,0,0,20131218,20161231
BMB_GovIsland_NYWW,0,0,0,0,0,1,1,20170501,20171031
PIER6_GOVISLAND,0,0,0,0,0,1,1,20170501,20171031
BMB_GovIsland_Coursen_WD,1,1,1,1,1,0,0,20170501,20171031
BMB_GovIsland_Coursen_WE,0,0,0,0,0,1,1,20170501,20171031
PaulusHook_WFC_Weekend_Summer,0,0,0,0,0,1,1,20160425,20180326
NYE_LateNite,0,0,0,0,0,0,0,20141224,20161231
xHavOss20150102,0,0,0,0,1,0,0,20141224,20141225
xNewBea20150102,0,0,0,0,1,0,0,20141224,20141225
PaulusHook_WFC_WeekEnd_7pm_Shut,0,0,0,0,0,0,0,20160102,20170425
Hudson_GoodFriday,0,0,0,0,0,0,0,20160320,20170420
PaulusHook_WFC_WeekEnd_EarlyShut,0,0,0,0,0,0,0,20150620,20161231
LincolnHarbor_H14-Mdtown_misc,0,0,0,0,0,0,0,20161214,20161231
PaulusHook_WFC_Weekday,1,1,1,1,1,0,0,20161216,20191231
PaulusHook_WFC_xmas,0,0,0,0,0,0,0,20161216,20161231
5304A6367,1,1,1,1,1,0,0,20161203,20170601
5305A6367,0,0,0,0,0,1,1,20161203,20170601
LibertePier11Temp,1,1,1,1,1,0,0,20170601,20170702
PortLib_BMB,1,1,1,1,1,0,0,20170703,20191231
HNJT_Midtown,1,1,1,1,1,0,0,20170905,20191231
HarborSide_Midtown,1,1,1,1,1,0,0,20171002,20191231
Harborside_WFC,1,1,1,1,1,0,0,20171002,20191231
Harbor_BPT_EarlyShut_7,0,0,0,0,0,0,0,20171109,20171231
Early_Depart_2_Belford,0,0,0,0,0,0,0,20171110,20171231
PHk_Har_HNJT-P79_WkDAY,0,0,0,0,0,0,0,20180101,20180102
Downtown_P79_Weekend,0,0,0,0,0,0,0,20180326,20180327
PaulusHook_Harbor-WFC_WeekEND,0,0,0,0,0,1,1,20180326,20191231
Harbor-WFC_WeekDAY_7pm_Shut,0,0,0,0,0,0,0,20180323,20180326
Phk_Har_HNJT-P79_WeekEnd_645Shut,0,0,0,0,0,1,1,20160123,20191231
PHk_Har_HNJT-P79_WeekEnd_late,0,0,0,0,0,1,1,20160323,20191231
