fare_id,price,currency_type,payment_method,transfers,transfer_duration
HR-5b6f88f0-7544-11e2-abb7-1231392484b4,21.50,USD,1,0,0
HR-5b6f96a6-7544-11e2-abb7-1231392484b4,17.75,USD,1,0,0
HR-5b6fa628-7544-11e2-abb7-1231392484b4,207.50,USD,1,0,0
HR-5b6fb3f2-7544-11e2-abb7-1231392484b4,645.00,USD,1,0,0
HR-5b6fc1a8-7544-11e2-abb7-1231392484b4,635.00,USD,1,0,0
HR-5b6fcf54-7544-11e2-abb7-1231392484b4,685.00,USD,1,0,0
HR-5b6fdd00-7544-11e2-abb7-1231392484b4,3.00,USD,1,0,0
HR-5b6fefde-7544-11e2-abb7-1231392484b4,21.50,USD,1,0,0
HR-5b6ffd6c-7544-11e2-abb7-1231392484b4,17.75,USD,1,0,0
HR-5b700ae6-7544-11e2-abb7-1231392484b4,207.50,USD,1,0,0
HR-5b701842-7544-11e2-abb7-1231392484b4,645.00,USD,1,0,0
HR-5b702530-7544-11e2-abb7-1231392484b4,635.00,USD,1,0,0
HR-5b703228-7544-11e2-abb7-1231392484b4,685.00,USD,1,0,0
HR-5b708264-7544-11e2-abb7-1231392484b4,3.00,USD,1,0,0
HR-5b70902e-7544-11e2-abb7-1231392484b4,21.50,USD,1,0,0
HR-5b70a280-7544-11e2-abb7-1231392484b4,17.75,USD,1,0,0
HR-5b70b036-7544-11e2-abb7-1231392484b4,207.50,USD,1,0,0
HR-5b70bdc4-7544-11e2-abb7-1231392484b4,645.00,USD,1,0,0
HR-5b70cad0-7544-11e2-abb7-1231392484b4,635.00,USD,1,0,0
HR-5b70da66-7544-11e2-abb7-1231392484b4,685.00,USD,1,0,0
HR-5b70e77c-7544-11e2-abb7-1231392484b4,3.00,USD,1,0,0
HR-5b70f474-7544-11e2-abb7-1231392484b4,21.50,USD,1,0,0
HR-5b71d8da-7544-11e2-abb7-1231392484b4,17.75,USD,1,0,0
HR-5b71e6f4-7544-11e2-abb7-1231392484b4,207.50,USD,1,0,0
HR-5b726188-7544-11e2-abb7-1231392484b4,645.00,USD,1,0,0
HR-5b726fd4-7544-11e2-abb7-1231392484b4,635.00,USD,1,0,0
HR-5b729694-7544-11e2-abb7-1231392484b4,685.00,USD,1,0,0
HR-5b72a3b4-7544-11e2-abb7-1231392484b4,3.00,USD,1,0,0
HR-5b72b886-7544-11e2-abb7-1231392484b4,10.25,USD,1,0,0
HR-5b7317e0-7544-11e2-abb7-1231392484b4,6.50,USD,1,0,0
HR-5b73260e-7544-11e2-abb7-1231392484b4,9.50,USD,1,0,0
HR-5b7335fe-7544-11e2-abb7-1231392484b4,93.25,USD,1,0,0
HR-5b734684-7544-11e2-abb7-1231392484b4,293.75,USD,1,0,0
HR-5b7353c2-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b7360f6-7544-11e2-abb7-1231392484b4,6.00,USD,1,0,0
HR-5b73a200-7544-11e2-abb7-1231392484b4,3.00,USD,1,0,0
HR-5b73afd4-7544-11e2-abb7-1231392484b4,5.50,USD,1,0,0
HR-5b73bda8-7544-11e2-abb7-1231392484b4,56.50,USD,1,0,0
HR-5b73cb0e-7544-11e2-abb7-1231392484b4,196.00,USD,1,0,0
HR-5b73d810-7544-11e2-abb7-1231392484b4,231.00,USD,1,0,0
HR-5b7412f8-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b74344a-7544-11e2-abb7-1231392484b4,7.00,USD,1,0,0
HR-5b7441f6-7544-11e2-abb7-1231392484b4,3.50,USD,1,0,0
HR-5b744fa2-7544-11e2-abb7-1231392484b4,6.50,USD,1,0,0
HR-5b745d58-7544-11e2-abb7-1231392484b4,65.75,USD,1,0,0
HR-5b746b04-7544-11e2-abb7-1231392484b4,229.00,USD,1,0,0
HR-5b747a18-7544-11e2-abb7-1231392484b4,264.00,USD,1,0,0
HR-5b7488a0-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
