fare_id,route_id,origin_id,destination_id,contains_id
ER-8b241032-3be9-11e2-bb20-1231392484b4,ER,,,
ER-5b6e1ace-7544-11e2-abb7-1231392484b4,ER,,,
ER-5b6e32f2-7544-11e2-abb7-1231392484b4,ER,,,
ER-5b6e891e-7544-11e2-abb7-1231392484b4,ER,,,
ER-5b6e9ab2-7544-11e2-abb7-1231392484b4,ER,,,
ER-5b6eacb4-7544-11e2-abb7-1231392484b4,ER,,,
ER-5b6eba42-7544-11e2-abb7-1231392484b4,ERL,,,
ER-5b6ec744-7544-11e2-abb7-1231392484b4,ERL,,,
ER-5b6ed45a-7544-11e2-abb7-1231392484b4,ERL,,,
ER-5b6ee36e-7544-11e2-abb7-1231392484b4,ERL,,,
ER-5b6ef6b0-7544-11e2-abb7-1231392484b4,ERL,,,
ER-5b6f79c8-7544-11e2-abb7-1231392484b4,ERL,,,
HR-5b6f88f0-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6f96a6-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fa628-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fb3f2-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fc1a8-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fcf54-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fdd00-7544-11e2-abb7-1231392484b4,BELFORD+PAULUS,,,
HR-5b6fefde-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b6ffd6c-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b700ae6-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b701842-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b702530-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b703228-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b708264-7544-11e2-abb7-1231392484b4,BELFORD+MIDTOWN,,,
HR-5b70902e-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70a280-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70b036-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70bdc4-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70cad0-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70da66-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70e77c-7544-11e2-abb7-1231392484b4,BELFORD+WFC,,,
HR-5b70f474-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b71d8da-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b71e6f4-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b726188-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b726fd4-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b729694-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b72a3b4-7544-11e2-abb7-1231392484b4,BELFORD+PIER11,,,
HR-5b72b886-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b7317e0-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b73260e-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b7335fe-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b734684-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b7353c2-7544-11e2-abb7-1231392484b4,EDGEWATER+MIDTOWN,,,
HR-5b7360f6-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b73a200-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b73afd4-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b73bda8-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b73cb0e-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b73d810-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b7412f8-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+WFC,,,
HR-5b74344a-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b7441f6-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b744fa2-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b745d58-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b746b04-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b747a18-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b7488a0-7544-11e2-abb7-1231392484b4,HOBOKENNJTT+PIER11,,,
HR-5b7495ac-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74a2a4-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74afa6-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74bc9e-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74ccde-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74d9e0-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74e6d8-7544-11e2-abb7-1231392484b4,HOBOKEN14+MIDTOWN,,,
HR-5b74f984-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b75069a-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b751446-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b752526-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b7532f0-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b7567f2-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b7575d0-7544-11e2-abb7-1231392484b4,HOBOKEN14+WFC,,,
HR-5b758390-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b83d800-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b83e6ce-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b83f8a8-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b840672-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b841874-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b8538d0-7544-11e2-abb7-1231392484b4,LIBERTY+PIER11,,,
HR-5b8549ec-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b855c02-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b856d28-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b857a7a-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b859082-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b85deac-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b85ec62-7544-11e2-abb7-1231392484b4,LINCOLN+MIDTOWN,,,
HR-5b85fd06-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b860a1c-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b861714-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b862a10-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b8662f0-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b867510-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b86829e-7544-11e2-abb7-1231392484b4,NEWPORT+MIDTOWN,,,
HR-5b868fa0-7544-11e2-abb7-1231392484b4,PAULUS+MIDTOWN,,,
HR-5b869c98-7544-11e2-abb7-1231392484b4,PAULUS+MIDTOWN,,,
HR-5b86a986-7544-11e2-abb7-1231392484b4,PAULUS+MIDTOWN,,,
