shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ERF_south_shape,40.743924,-73.97069,1,
ERF_south_shape,40.743599,-73.968287,2,
ERF_south_shape,40.7429,-73.964446,3,
ERF_south_shape,40.741746,-73.961055,4,
ERF_south_shape,40.741112,-73.962793,5,
ERF_south_shape,40.739584,-73.964789,6,
ERF_south_shape,40.73799,-73.965862,7,
ERF_south_shape,40.735698,-73.965969,8,
ERF_south_shape,40.732543,-73.965368,9,
ERF_south_shape,40.732056,-73.964381,10,
ERF_south_shape,40.731698,-73.961699,11,
ERF_south_shape,40.73095,-73.963737,12,
ERF_south_shape,40.728088,-73.965518,13,
ERF_south_shape,40.723584,-73.965862,14,
ERF_south_shape,40.720852,-73.964038,15,
ERF_south_shape,40.720998,-73.965926,16,
ERF_south_shape,40.720169,-73.9679,17,
ERF_south_shape,40.717957,-73.969746,18,
ERF_south_shape,40.715078,-73.97099,19,
ERF_south_shape,40.711646,-73.970819,20,
ERF_south_shape,40.709857,-73.970926,21,
ERF_south_shape,40.708605,-73.969853,22,
ERF_south_shape,40.709825,-73.973243,23,
ERF_south_shape,40.706734,-73.992856,24,
ERF_south_shape,40.704473,-73.995581,25,
ERF_south_shape,40.703367,-73.994851,26,
ERF_south_shape,40.703887,-74.002748,27,
ERF_south_shape,40.703595,-74.00646,28,
ERF_north_shape,40.743924,-73.97069,28,
ERF_north_shape,40.743599,-73.968287,27,
ERF_north_shape,40.7429,-73.964446,26,
ERF_north_shape,40.741746,-73.961055,25,
ERF_north_shape,40.741112,-73.962793,24,
ERF_north_shape,40.739584,-73.964789,23,
ERF_north_shape,40.73799,-73.965862,22,
ERF_north_shape,40.735698,-73.965969,21,
ERF_north_shape,40.732543,-73.965368,20,
ERF_north_shape,40.732056,-73.964381,19,
ERF_north_shape,40.731698,-73.961699,18,
ERF_north_shape,40.73095,-73.963737,17,
ERF_north_shape,40.728088,-73.965518,16,
ERF_north_shape,40.723584,-73.965862,15,
ERF_north_shape,40.720852,-73.964038,14,
ERF_north_shape,40.720998,-73.965926,13,
ERF_north_shape,40.720169,-73.9679,12,
ERF_north_shape,40.717957,-73.969746,11,
ERF_north_shape,40.715078,-73.97099,10,
ERF_north_shape,40.711646,-73.970819,9,
ERF_north_shape,40.709857,-73.970926,8,
ERF_north_shape,40.708605,-73.969853,7,
ERF_north_shape,40.709825,-73.973243,6,
ERF_north_shape,40.706734,-73.992856,5,
ERF_north_shape,40.704473,-73.995581,4,
ERF_north_shape,40.703367,-73.994851,3,
ERF_north_shape,40.703887,-74.002748,2,
ERF_north_shape,40.703595,-74.00646,1,
BELFORD_PAULUS_shape,40.433278,-74.078831,1,
BELFORD_PAULUS_shape,40.434021,-74.079995,2,
BELFORD_PAULUS_shape,40.434838,-74.081755,3,
BELFORD_PAULUS_shape,40.437659,-74.081261,4,
BELFORD_PAULUS_shape,40.440619,-74.080349,5,
BELFORD_PAULUS_shape,40.463013,-74.071283,6,
BELFORD_PAULUS_shape,40.573609,-74.04253,7,
BELFORD_PAULUS_shape,40.634278,-74.046135,8,
BELFORD_PAULUS_shape,40.655769,-74.034977,9,
BELFORD_PAULUS_shape,40.690515,-74.02914,10,
BELFORD_PAULUS_shape,40.71394,-74.024312,11,
BELFORD_PAULUS_shape,40.714493,-74.030213,12,
BELFORD_PAULUS_shape,40.713842,-74.032574,13,
PAULUS_BEDFORD_shape,40.433278,-74.078831,13,
PAULUS_BEDFORD_shape,40.434021,-74.079995,12,
PAULUS_BEDFORD_shape,40.434838,-74.081755,11,
PAULUS_BEDFORD_shape,40.437659,-74.081261,10,
PAULUS_BEDFORD_shape,40.440619,-74.080349,9,
PAULUS_BEDFORD_shape,40.463013,-74.071283,8,
PAULUS_BEDFORD_shape,40.573609,-74.04253,7,
PAULUS_BEDFORD_shape,40.634278,-74.046135,6,
