route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-01,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-02,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-03,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-04,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-05,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-06,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-08,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-09,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,BELFORD-PAULUS-WEEKDAY-10,NEXT: PAULUS HOOK,BELFORD+PAULUS,0,,BELFORD_PAULUS_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-01,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-02,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-03,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-04,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-05,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-06,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-07,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
BELFORD+PAULUS,2012HudsonWeekday,PAULUS-BELFORD-WEEKDAY-10,NEXT: BELFORD,BELFORD+PAULUS,1,,PAULUS_BEDFORD_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-01,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-02,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-03,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-04,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-05,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-06,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-07,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-08,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-09,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-10,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-11,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-12,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-13,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-14,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-15,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-16,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-17,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-18,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,WFC-IMPERIAL-WEEKDAY-19,NEXT: PORT IMPERIAL,IMPERIAL+WFC,1,,WFC_IMPERIAL_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-01,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-02,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-03,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-04,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-05,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-06,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-07,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-08,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-09,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-10,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-11,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-12,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-13,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-14,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-15,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-16,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-17,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-18,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
IMPERIAL+BPT,2012HudsonWeekday,IMPERIAL-WFC-WEEKDAY-19,NEXT: WORLD FINANCIAL CENTER,IMPERIAL+WFC,0,,IMPERIAL_WFC_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-01,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-02,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-03,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-04,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-05,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-06,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-07,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-09,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-10,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-11,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-12,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,BEACON-NEWBURGH-WEEKDAY-13,NEXT: NEWBURGH,BEACON+NEWBURGH,0,,BEACON_NEWBURGH_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-01,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-02,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-03,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-04,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-05,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-06,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-07,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
BEACON+NEWBURGH,2012HudsonWeekday,NEWBURGH-BEACON-WEEKDAY-08,NEXT: BEACON,BEACON+NEWBURGH,1,,NEWBURGH_BEACON_shape,0,0
